,value,percentage,code_com,mes,year
667,720273.259,1,11,8,2021
668,725963.978,1,11,9,2021
669,750755.832,1,11,10,2021
670,783627.844,1,11,11,2021
671,805235.909,1,11,12,2021
672,833740.735,1,21,1,2021
673,704966.713,1,21,2,2021
674,757147.666,1,21,3,2021
675,706783.625,1,21,4,2021
676,730774.566,1,21,5,2021
677,757175.204,1,21,6,2021
678,905457.514,1,21,7,2021
679,901082.855,1,21,8,2021
680,793300.95,1,21,9,2021
681,707168.96,1,21,10,2021
682,723781.406,1,21,11,2021
683,781601.118,1,21,12,2021
