,Provincias,Ramas de actividad,periodo,Total
117,33,F. Construcción,2021,1392272.0
118,33,F. Construcción,2020,1314621.0
119,33,F. Construcción,2019,1521189.0
120,33,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4867794.0
121,33,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4189893.0
122,33,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5208875.0
123,33,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5075288.0
124,33,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4877413.0
125,33,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5013066.0
126,33,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,5092263.0
127,33,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5025246.0
128,33,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,5213870.0
129,33,Valor añadido bruto total,2021,21306287.0
130,33,Valor añadido bruto total,2020,19453520.0
131,33,Valor añadido bruto total,2019,21504954.0
132,33,Impuestos netos sobre los productos,2021,2243372.0
133,33,Impuestos netos sobre los productos,2020,1865628.0
134,33,Impuestos netos sobre los productos,2019,2206315.0
135,5,"A. Agricultura, ganadería, silvicultura y pesca",2021,141202.0
136,5,"A. Agricultura, ganadería, silvicultura y pesca",2020,141187.0
137,5,"A. Agricultura, ganadería, silvicultura y pesca",2019,104443.0
138,5,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,324441.0
139,5,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,264401.0
140,5,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,281793.0
141,5,C. - De las cuales: Industria manufacturera,2021,251439.0
142,5,C. - De las cuales: Industria manufacturera,2020,216637.0
143,5,C. - De las cuales: Industria manufacturera,2019,234660.0
144,5,F. Construcción,2021,266759.0
145,5,F. Construcción,2020,264628.0
146,5,F. Construcción,2019,272458.0
147,5,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,645518.0
148,5,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,556041.0
149,5,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,732257.0
150,5,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,678479.0
151,5,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,651021.0
152,5,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,660029.0
