Provincias;Ramas de actividad;periodo;Total
01 Araba/Álava;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.754.616
01 Araba/Álava;Valor añadido bruto total;2021(P);11.707.303
01 Araba/Álava;Valor añadido bruto total;2020;10.704.838
01 Araba/Álava;Valor añadido bruto total;2019;11.621.124
01 Araba/Álava;Impuestos netos sobre los productos;2021(P);1.232.680
01 Araba/Álava;Impuestos netos sobre los productos;2020;1.026.613
01 Araba/Álava;Impuestos netos sobre los productos;2019;1.192.277
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.939.983
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.731.451
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.813.401
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
33 Asturias;A. Agricultura, ganadería, silvicultura y pesca;2021(P);306.301
33 Asturias;A. Agricultura, ganadería, silvicultura y pesca;2020;284.291
33 Asturias;A. Agricultura, ganadería, silvicultura y pesca;2019;307.966
33 Asturias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);4.572.369
33 Asturias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.762.056
33 Asturias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;4.239.988
33 Asturias;C. - De las cuales: Industria manufacturera;2021(P);3.118.701
33 Asturias;C. - De las cuales: Industria manufacturera;2020;2.508.510
33 Asturias;C. - De las cuales: Industria manufacturera;2019;2.902.969
33 Asturias;F. Construcción;2021(P);1.392.272
33 Asturias;F. Construcción;2020;1.314.621
33 Asturias;F. Construcción;2019;1.521.189
33 Asturias;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);4.867.794
33 Asturias;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;4.189.893
33 Asturias;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;5.208.875
33 Asturias;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);5.075.288
33 Asturias;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.877.413
33 Asturias;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;5.013.066
33 Asturias;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);5.092.263
33 Asturias;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;5.025.246
33 Asturias;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;5.213.870
33 Asturias;Valor añadido bruto total;2021(P);21.306.287
33 Asturias;Valor añadido bruto total;2020;19.453.520
33 Asturias;Valor añadido bruto total;2019;21.504.954
33 Asturias;Impuestos netos sobre los productos;2021(P);2.243.372
33 Asturias;Impuestos netos sobre los productos;2020;1.865.628
33 Asturias;Impuestos netos sobre los productos;2019;2.206.315
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.300.110
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.076.404
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.321.394
05 Ávila;A. Agricultura, ganadería, silvicultura y pesca;2021(P);141.202
05 Ávila;A. Agricultura, ganadería, silvicultura y pesca;2020;141.187
05 Ávila;A. Agricultura, ganadería, silvicultura y pesca;2019;104.443
05 Ávila;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);324.441
05 Ávila;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;264.401
05 Ávila;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;281.793
05 Ávila;C. - De las cuales: Industria manufacturera;2021(P);251.439
05 Ávila;C. - De las cuales: Industria manufacturera;2020;216.637
05 Ávila;C. - De las cuales: Industria manufacturera;2019;234.660
05 Ávila;F. Construcción;2021(P);266.759
05 Ávila;F. Construcción;2020;264.628
05 Ávila;F. Construcción;2019;272.458
05 Ávila;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);645.518
05 Ávila;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;556.041
05 Ávila;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;732.257
05 Ávila;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);678.479
05 Ávila;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;651.021
05 Ávila;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;660.029
05 Ávila;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);929.338
05 Ávila;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;929.911
05 Ávila;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;961.361
05 Ávila;Valor añadido bruto total;2021(P);2.985.737
05 Ávila;Valor añadido bruto total;2020;2.807.189
05 Ávila;Valor añadido bruto total;2019;3.012.341
05 Ávila;Impuestos netos sobre los productos;2021(P);314.373
05 Ávila;Impuestos netos sobre los productos;2020;269.215
05 Ávila;Impuestos netos sobre los productos;2019;309.053
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.300.110
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.076.404
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.321.394
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.723.211
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.638.254
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.490.571
06 Badajoz;A. Agricultura, ganadería, silvicultura y pesca;2021(P);1.114.803
06 Badajoz;A. Agricultura, ganadería, silvicultura y pesca;2020;828.169
06 Badajoz;A. Agricultura, ganadería, silvicultura y pesca;2019;957.944
06 Badajoz;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.424.693
06 Badajoz;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.284.940
06 Badajoz;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.331.190
06 Badajoz;C. - De las cuales: Industria manufacturera;2021(P);989.504
06 Badajoz;C. - De las cuales: Industria manufacturera;2020;880.772
06 Badajoz;C. - De las cuales: Industria manufacturera;2019;894.518
06 Badajoz;F. Construcción;2021(P);712.482
06 Badajoz;F. Construcción;2020;656.761
06 Badajoz;F. Construcción;2019;766.514
06 Badajoz;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);2.239.124
06 Badajoz;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.925.604
06 Badajoz;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;2.274.580
06 Badajoz;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);2.390.063
06 Badajoz;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.284.369
06 Badajoz;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.278.521
06 Badajoz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);3.630.016
06 Badajoz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.639.953
06 Badajoz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;3.719.584
06 Badajoz;Valor añadido bruto total;2021(P);11.511.181
06 Badajoz;Valor añadido bruto total;2020;10.619.796
06 Badajoz;Valor añadido bruto total;2019;11.328.333
06 Badajoz;Impuestos netos sobre los productos;2021(P);1.212.030
06 Badajoz;Impuestos netos sobre los productos;2020;1.018.458
06 Badajoz;Impuestos netos sobre los productos;2019;1.162.238
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.723.211
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.638.254
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.490.571
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.031.668
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.198.090
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
07 Balears, Illes;A. Agricultura, ganadería, silvicultura y pesca;2021(P);154.128
07 Balears, Illes;A. Agricultura, ganadería, silvicultura y pesca;2020;148.537
07 Balears, Illes;A. Agricultura, ganadería, silvicultura y pesca;2019;181.850
07 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.806.386
07 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.674.865
07 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.791.348
07 Balears, Illes;C. - De las cuales: Industria manufacturera;2021(P);775.341
07 Balears, Illes;C. - De las cuales: Industria manufacturera;2020;739.139
07 Balears, Illes;C. - De las cuales: Industria manufacturera;2019;843.963
07 Balears, Illes;F. Construcción;2021(P);2.146.768
07 Balears, Illes;F. Construcción;2020;2.151.854
07 Balears, Illes;F. Construcción;2019;2.447.974
